Plant Name,Type,Origin,Height (cm)
Orchid,Ornamental,Tropical,30
Fern,Ground Cover,Tropical,40
Bamboo,Grass,Asia,600
Cactus,Succulent,America,60
Bird of Paradise,Ornamental,Africa,150
Banana Tree,Tree,Tropical,300
Cactus,Succulent,America,60
Monstera,Ornamental,Tropical,70
Pitcher Plant,Carnivorous,Southeast Asia,20
Bonsai Tree,Tree,Japan,50
Bougainvillea,Shrub,South America,400
Aloe Vera,Succulent,Arabia,50
Rafflesia,Flower,Southeast Asia,20
Palm Tree,Tree,Tropical,400
Azalea,Shrub,Asia,60
Snake Plant,Succulent,Africa,90
Plumeria,Tree,Tropical,500
Lavender,Herb,Mediterranean,50
Jasmine,Shrub,Tropical,200
Sunflower,Flower,North America,150
Tulip,Flower,Asia,40
Rose,Flower,Asia,60
Bamboo,Grass,Asia,500
Chrysanthemum,Flower,Asia,50
Venus Flytrap,Carnivorous,North America,15
Japanese Maple,Tree,Japan,300
Kangaroo Paw,Flower,Australia,60
Baobab Tree,Tree,Africa,1800
Dragon Tree,Tree,Africa,300
Passion Flower,Vine,America,500
Rafflesia,Flower,Southeast Asia,20
Dragon Fruit,Cactus,Central America,300
Ghost Orchid,Orchid,Florida,50
Corpse Flower,Flower,Southeast Asia,300
Fairy Duster,Shrub,North America,60
Bleeding Heart Vine,Vine,Tropical,150
Lady Slipper Orchid,Orchid,North America,30
Flame Lily,Flower,Africa,90
Wandering Jew,Vine,Tropical,20
King Protea,Flower,South Africa,300
Rainbow Eucalyptus,Tree,Papua New Guinea,750
Heliconia,Flower,Tropical,200
Victoria Amazonica,Water Lily,South America,300
Buddha's Hand,Citrus,India,600
Black Bat Flower,Flower,Southeast Asia,30
Monkey Face Orchid,Orchid,Ecuador,50
Swiss Cheese Plant,Ornamental,Tropical,60
Kangaroo Paw,Flower,Australia,60
Bougainvillea,Shrub,South America,400
Bird of Paradise,Ornamental,Africa,150
Venus Flytrap,Carnivorous,North America,15
Rose,Flower,Asia,60
Oak,Tree,North America,1500
Tulip,Flower,Europe,30
Fern,Fern,North America,60
Sunflower,Flower,North America,180
Palm,Tree,Africa,400
Daisy,Flower,Europe,20
Maple,Tree,North America,250
Orchid,Flower,Asia,50
Cactus,Succulent,Americas,30
Lily,Flower,Asia,70
Bamboo,Grass,Asia,900
Pine,Tree,North America,200
Lavender,Shrub,Europe,60
Tulsi,Herb,Asia,50
Cherry Blossom,Tree,Asia,150
Aloe Vera,Succulent,Africa,30
Carnation,Flower,Mediterranean,50
African Violet,Flower,Africa,15
Birch,Tree,North America,300
Ficus,Tree,Asia,200
Columbine,Flower,North America,30
Jasmine,Shrub,Asia,90
Fuchsia,Flower,Central and South America,40
Amaranth,Flower,Various,80
